Thread Key,Member,Tweet Count,Original Total XP,Tweet IDs (comma-separated),Status
noob2711_2001516805152739716,noob2711,10,35.0,"2001516805152739716, 2001520243857068264, 2001520345862541713, 2001524256971305237, 2001524407869841601, 2001548268547997790, 2001548387439825313, 2001548522404090013, 2001549264347107801, 2001553177326555438",DRY RUN
sedloe_2000452636202381661,sedloe,9,34.0,"2000452636202381661, 2000452639117500777, 2000452641797591056, 2000452644465266826, 2000452647326040529, 2000452650555351288, 2000452653432836492, 2000452656137969797, 2000452658994250104",DRY RUN
hamil13_2001515988869579101,hamil13,8,32.0,"2001515988869579101, 2001515991763660963, 2001515994578403337, 2001515997724135661, 2001516003763851409, 2001516006632550566, 2001516009383948455, 2001516012563542044",DRY RUN
hmd7ai_1943353617886376423,hmd7ai,8,31.0,"1943353634575523868, 1943353632746795312, 1943353630729318512, 1943353626883162622, 1943353622827274598, 1943353620680130620, 1943353617886376423, 1943353624882508177",DRY RUN
jarvis779_1918197265224876477,jarvis779,6,25.0,"1918198374165282896, 1918197265224876477, 1918197510482608185, 1918197665235648608, 1918197775180972286, 1918197898061463656",DRY RUN
sedloe_2000444258705404180,sedloe,5,24.0,"2000444258705404180, 2000444262366745038, 2000444264736571643, 2000444267131506950, 2000444269602243045",DRY RUN
hmd7ai_1931597043132248525,hmd7ai,8,24.0,"1931597062014894244, 1931597060085551369, 1931597058344919255, 1931597056461648352, 1931597054649745548, 1931597053030744526, 1931597051051082234, 1931597043132248525",DRY RUN
chiefdahunsi_1999293504854630616,chiefdahunsi,7,22.0,"1999293504854630616, 1999293507022778701, 1999293509090656699, 1999293511284457718, 1999293513574547565, 1999293515835277612, 1999293518108590397",DRY RUN
sedloe_2001515489218961696,sedloe,7,22.0,"2001515489218961696, 2001515492205273220, 2001515498706522526, 2001515501910986997, 2001515505006288942, 2001515508516925569, 2001515512195342564",DRY RUN
hdm368358_1998508736034517403,hdm368358,5,21.0,"1998508736034517403, 1998508738769224137, 1998508741403226503, 1998508744037249450, 1998508746524488183",DRY RUN
hdm368358_1998893738610057538,hdm368358,5,21.0,"1998893743244755087, 1998893747845869609, 1998893750492479707, 1998893753176830060, 1998893765097140476",DRY RUN
noob2711_1997336424597893523,noob2711,6,19.0,"1997336424597893523, 1997342798664872162, 1997348556009767043, 1997348958226788399, 1997350200105730216, 1997350514598768771",DRY RUN
jarvis779_1928446206579253648,jarvis779,4,18.0,"1928446206579253648, 1928446344475066853, 1928446427614904512, 1928446577821282489",DRY RUN
hdm368358_1999572013355012137,hdm368358,4,18.0,"1999572015980675382, 1999572018186928348, 1999572020472721733, 1999572022582456380",DRY RUN
jes6069_2000274998074962156,jes6069,5,18.0,"2000274998074962156, 2000275001778315486, 2000275004160668015, 2000275006631125410, 2000275009210593529",DRY RUN
jarvis779_1923259180758053290,jarvis779,4,17.0,"1923259180758053290, 1923259315676201309, 1923259430155522503, 1923259562016055687",DRY RUN
jimmy9177_1999884471621837143,jimmy9177,5,17.0,"1999884471621837143, 1999884474465878216, 1999884476936274177, 1999884479343870223, 1999884481810043018",DRY RUN
hmd7ai_1944190241687949681,hmd7ai,4,17.0,"1944190247689978239, 1944190245907370179, 1944190244019900528, 1944190241687949681",DRY RUN
hossein7491_2000277624585642177,hossein7491,4,17.0,"2000277633821528169, 2000277631145562145, 2000277627135819945, 2000277624585642177",DRY RUN
hossein7491_1999180126366658977,hossein7491,3,15.0,"1999180126366658977, 1999180129575022943, 1999180209870786947",DRY RUN
kejan3612_2000149248957141299,kejan3612,4,15.0,"2000149248957141299, 2000149253516296401, 2000149257052127569, 2000149260504059947",DRY RUN
jarvis779_1914991831999283496,jarvis779,4,15.0,"1914991831999283496, 1914992036253675700, 1914992219616088443, 1914992342345674790",DRY RUN
hmd7ai_1929422646640250914,hmd7ai,4,15.0,"1929422653032481094, 1929422651195261361, 1929422649081405597, 1929422646640250914",DRY RUN
jarvis779_1920295489804599671,jarvis779,3,14.0,"1920295489804599671, 1920295604971868596, 1920295861692580196",DRY RUN
rezamahd3_2000136317393682910,rezamahd3,3,14.0,"2000136317393682910, 2000140607612649755, 2000227322171912683",DRY RUN
hmd7ai_1936653492128481509,hmd7ai,6,14.0,"1936653505340617000, 1936653503478522251, 1936653501566009745, 1936653496192802936, 1936653494389186713, 1936653492128481509",DRY RUN
hossein7491_2000673661640949899,hossein7491,3,14.0,"2000673661640949899, 2000673679986864580, 2000673683430351212",DRY RUN
hossein7491_1978955230109729227,hossein7491,3,13.0,"1978955237055455462, 1978955230109729227, 1978955234006192418",DRY RUN
jarvis779_1924112242813059311,jarvis779,3,13.0,"1924112242813059311, 1924112378666570160, 1924112939856093228",DRY RUN
hdm368358_1999120475612434739,hdm368358,3,13.0,"1999120479039185084, 1999120482394636747, 1999120489877217324",DRY RUN
hmd7ai_1930861481005879713,hmd7ai,3,13.0,"1930861490300420264, 1930861488681414924, 1930861481005879713",DRY RUN
rezamahd3_2001979584007528632,rezamahd3,3,13.0,"2001979584007528632, 2001979586348003802, 2001979588671611131",DRY RUN
jarvis779_1924889819760734405,jarvis779,3,12.0,"1924889819760734405, 1924889925801148642, 1924890024811889163",DRY RUN
jarvis779_1924406151904641278,jarvis779,3,12.0,"1924406151904641278, 1924406299770654930, 1924406472777314540",DRY RUN
jarvis779_1919801936326607103,jarvis779,4,12.0,"1919802073950122256, 1919802189591044167, 1919802533364826158, 1919801936326607103",DRY RUN
hossein7491_2000589145232515150,hossein7491,3,12.0,"2000589150311903427, 2000589147799523668, 2000589145232515150",DRY RUN
hmd7ai_1930139221257277572,hmd7ai,3,12.0,"1930139229918576791, 1930139223677427873, 1930139221257277572",DRY RUN
hossein7491_1975582125064921109,hossein7491,3,11.0,"1975582125064921109, 1975582140508348772, 1975582127769956767",DRY RUN
hossein7491_1974841831528485180,hossein7491,4,11.0,"1974841831528485180, 1974841837589242101, 1974841843276726502, 1974841834833596644",DRY RUN
hossein7491_1972736813895983535,hossein7491,3,11.0,"1972736813895983535, 1972736817012379686, 1972736821462503500",DRY RUN
jarvis779_1930834481356927146,jarvis779,3,11.0,"1930834648399290626, 1930834802875445301, 1930834888179044821",DRY RUN
jarvis779_1918651636823548010,jarvis779,3,11.0,"1918651636823548010, 1918651771024794098, 1918651868181672255",DRY RUN
hossein7491_1974108541440126988,hossein7491,3,10.0,"1974108544179057033, 1974108541440126988, 1974108570674405519",DRY RUN
jarvis779_1928642173987365175,jarvis779,3,10.0,"1928642686262911202, 1928642403340300449, 1928642561494647140",DRY RUN
jarvis779_1919575524848108006,jarvis779,2,10.0,"1919575524848108006, 1919575912128933943",DRY RUN
zlyhkrn_1999899674850005308,zlyhkrn,5,10.0,"1999899674850005308, 1999899677240549480, 1999899679426044197, 1999899681623577077, 1999899683721023684",DRY RUN
hmd7ai_1933767569086812633,hmd7ai,2,10.0,"1933767571351769460, 1933767569086812633",DRY RUN
hossein7491_1977744460424396995,hossein7491,2,9.0,"1977744460424396995, 1977744480196293084",DRY RUN
hossein7491_1976545100294730039,hossein7491,2,9.0,"1976545100294730039, 1976545106615492773",DRY RUN
hossein7491_1975948206199513318,hossein7491,3,9.0,"1975948222679195850, 1975948208947036621, 1975948206199513318",DRY RUN
hossein7491_1974950033629069370,hossein7491,3,9.0,"1974950036481220737, 1974950049307349103, 1974950033629069370",DRY RUN
hossein7491_1979859616860377212,hossein7491,2,9.0,"1979859620442317259, 1979859616860377212",DRY RUN
hossein7491_1980998711699476790,hossein7491,2,9.0,"1980998730036953504, 1980998714996277263",DRY RUN
valtair_adanaan_1951664714397659235,valtair_adanaan,2,9.0,"1951664741471945173, 1951664737634124056",DRY RUN
chiefdahunsi_1998496306252374322,chiefdahunsi,2,9.0,"1998496306252374322, 1998496309888626935",DRY RUN
chiefdahunsi_1998556766687342900,chiefdahunsi,2,9.0,"1998556766687342900, 1998556769191424283",DRY RUN
hossein7491_1999118666609103067,hossein7491,2,9.0,"1999118666609103067, 1999118668962124118",DRY RUN
hossein7491_1999435682620801223,hossein7491,2,9.0,"1999435682620801223, 1999435730431680732",DRY RUN
rezamahd3_1908622844705091780,rezamahd3,3,9.0,"1908622844705091780, 2000210058781626524, 2000210990890131775",DRY RUN
rexa302_1907168450641805760,rexa302,2,9.0,"1907168454517588181, 2001548808241446916",DRY RUN
hdm368358_1999974386053623841,hdm368358,2,9.0,"1999974388536574108, 1999974386053623841",DRY RUN
hmd7ai_1945375505831661615,hmd7ai,2,9.0,"1945375510189449280, 1945375505831661615",DRY RUN
hossein7491_2000143379926012230,hossein7491,2,9.0,"2000143379926012230, 2000143415363645819",DRY RUN
hmd7ai_1934722726507200944,hmd7ai,2,9.0,"1934722728965115968, 1934722726507200944",DRY RUN
hossein7491_2000951793539539197,hossein7491,2,9.0,"2000951793539539197, 2000951844047347955",DRY RUN
favybristol_2001611493314281827,favybristol,2,9.0,"2001611493314281827, 2001611498552954955",DRY RUN
hossein7491_1984556226068562327,hossein7491,3,8.0,"1984556236226846944, 1984556228572270719, 1984556226068562327",DRY RUN
hossein7491_1983538135444422839,hossein7491,2,8.0,"1983538135444422839, 1983538139131150471",DRY RUN
hossein7491_1983245229688799421,hossein7491,2,8.0,"1983245229688799421, 1983245233308447032",DRY RUN
hossein7491_1977389367015395555,hossein7491,3,8.0,"1977389413756801481, 1977389370148565021, 1977389367015395555",DRY RUN
hossein7491_1976290463159386247,hossein7491,2,8.0,"1976290470507450801, 1976290465835053316",DRY RUN
hossein7491_1975685758036885571,hossein7491,3,8.0,"1975685758036885571, 1975685761614938584, 1975685797572714573",DRY RUN
hossein7491_1973514287420416463,hossein7491,2,8.0,"1973514287420416463, 1973514299491623237",DRY RUN
hossein7491_1981372754168279156,hossein7491,2,8.0,"1981372756663894265, 1981372759323340897",DRY RUN
hossein7491_1978013039522627784,hossein7491,2,8.0,"1978013070669865081, 1978013039522627784",DRY RUN
chiefdahunsi_1998087240590016603,chiefdahunsi,2,8.0,"1998087240590016603, 1998087242972283353",DRY RUN
chiefdahunsi_1998093117946515744,chiefdahunsi,2,8.0,"1998093117946515744, 1998093124175102091",DRY RUN
chiefdahunsi_1998494595521626237,chiefdahunsi,2,8.0,"1998494595521626237, 1998494600760275088",DRY RUN
chiefdahunsi_1998802850210804164,chiefdahunsi,2,8.0,"1998802850210804164, 1998802854790963428",DRY RUN
chiefdahunsi_1999296174562640144,chiefdahunsi,2,8.0,"1999296174562640144, 1999296176915644686",DRY RUN
chiefdahunsi_1999297858206568691,chiefdahunsi,2,8.0,"1999297858206568691, 1999297860589027796",DRY RUN
hdm368358_1999487871863189711,hdm368358,2,8.0,"1999487874367135964, 1999487877219328116",DRY RUN
hmd7ai_1946435487591219320,hmd7ai,3,8.0,"1946435491026354435, 1946435489327677864, 1946435487591219320",DRY RUN
chiefdahunsi_1999865618275893538,chiefdahunsi,2,8.0,"1999865618275893538, 1999865620700246102",DRY RUN
chiefdahunsi_1999874079529271425,chiefdahunsi,2,8.0,"1999874079529271425, 1999874081903321502",DRY RUN
chiefdahunsi_1999878032870543494,chiefdahunsi,2,8.0,"1999878032870543494, 1999878035118735596",DRY RUN
hmd7ai_1941228259632611526,hmd7ai,2,8.0,"1941228262295998587, 1941228259632611526",DRY RUN
hmd7ai_1932590782411636893,hmd7ai,2,8.0,"1932590784806564149, 1932590782411636893",DRY RUN
hmd7ai_1928716731331002387,hmd7ai,3,8.0,"1928716735508521181, 1928716733805666659, 1928716731331002387",DRY RUN
favybristol_2000905176987668710,favybristol,3,8.0,"2000905176987668710, 2000905181009953217, 2000905184915153147",DRY RUN
hmd7ai_1924339069741387958,hmd7ai,2,8.0,"1924339075613409350, 1924339069741387958",DRY RUN
hmd7ai_1923274511073284203,hmd7ai,2,8.0,"1923274514994954559, 1923274513166245993",DRY RUN
hossein7491_1984286644888129645,hossein7491,2,7.0,"1984286644888129645, 1984286647610192327",DRY RUN
hossein7491_1974238783055802856,hossein7491,3,7.0,"1974238795080831179, 1974238783055802856, 1974238799073779900",DRY RUN
chiefdahunsi_1998088927241220498,chiefdahunsi,3,7.0,"1998088927241220498, 1998088929451626916, 1998090002056831384",DRY RUN
chiefdahunsi_1998497329842893303,chiefdahunsi,2,7.0,"1998497329842893303, 1998497332418195521",DRY RUN
chiefdahunsi_1998794168035061789,chiefdahunsi,2,7.0,"1998794168035061789, 1998794170857857250",DRY RUN
chiefdahunsi_1998797351725744394,chiefdahunsi,2,7.0,"1998797351725744394, 1998797354548473863",DRY RUN
chiefdahunsi_1999295606620324056,chiefdahunsi,2,7.0,"1999295606620324056, 1999295609162072332",DRY RUN
chiefdahunsi_1999868795536752978,chiefdahunsi,2,7.0,"1999868795536752978, 1999868797784887786",DRY RUN
chiefdahunsi_1999875037885841902,chiefdahunsi,2,7.0,"1999875037885841902, 1999875040226295995",DRY RUN
chiefdahunsi_1999879261390557413,chiefdahunsi,2,7.0,"1999879261390557413, 1999879264062333246",DRY RUN
hossein7491_1975293459771891847,hossein7491,2,6.0,"1975293500511166529, 1975293459771891847",DRY RUN
chiefdahunsi_1998094518676316455,chiefdahunsi,2,6.0,"1998094518676316455, 1998094522526658859",DRY RUN
chiefdahunsi_1998342907791564880,chiefdahunsi,2,6.0,"1998342907791564880, 1998342910912110714",DRY RUN
chiefdahunsi_1998350468729209131,chiefdahunsi,2,6.0,"1998350468729209131, 1998350472030105606",DRY RUN
chiefdahunsi_1998351555590754763,chiefdahunsi,2,6.0,"1998351555590754763, 1998351558698778800",DRY RUN
chiefdahunsi_1998353513668030957,chiefdahunsi,2,6.0,"1998353513668030957, 1998353518114037809",DRY RUN
chiefdahunsi_1998495304178696606,chiefdahunsi,2,6.0,"1998495304178696606, 1998495308121010541",DRY RUN
chiefdahunsi_1998498205655511249,chiefdahunsi,2,6.0,"1998498205655511249, 1998498208125956568",DRY RUN
chiefdahunsi_1998561587024773571,chiefdahunsi,2,6.0,"1998561587024773571, 1998561589356597351",DRY RUN
chiefdahunsi_1998796150791614733,chiefdahunsi,2,6.0,"1998796150791614733, 1998796153324974418",DRY RUN
chiefdahunsi_1998797878505123916,chiefdahunsi,2,6.0,"1998797878505123916, 1998797882497892600",DRY RUN
chiefdahunsi_1998801837571584442,chiefdahunsi,2,6.0,"1998801837571584442, 1998801840105042179",DRY RUN
chiefdahunsi_1998914250560122881,chiefdahunsi,2,6.0,"1998914250560122881, 1998914252908929278",DRY RUN
chiefdahunsi_1998914590810558973,chiefdahunsi,2,6.0,"1998914590810558973, 1998914593071231217",DRY RUN
chiefdahunsi_1998916903180681340,chiefdahunsi,2,6.0,"1998916903180681340, 1998916905659506793",DRY RUN
chiefdahunsi_1998918022258634978,chiefdahunsi,2,6.0,"1998918022258634978, 1998918024515170440",DRY RUN
chiefdahunsi_1999295199126974867,chiefdahunsi,2,6.0,"1999295199126974867, 1999295201517703485",DRY RUN
chiefdahunsi_1999298618818170982,chiefdahunsi,2,6.0,"1999298618818170982, 1999298621087609143",DRY RUN
hmd7ai_1947180987814642018,hmd7ai,3,6.0,"1947180987814642018, 1947180990079594636, 1947180993510510800",DRY RUN
chiefdahunsi_1999869914690318798,chiefdahunsi,2,6.0,"1999869914690318798, 1999869917173314032",DRY RUN
chiefdahunsi_1999875777740083535,chiefdahunsi,2,6.0,"1999875777740083535, 1999875780084670652",DRY RUN
chiefdahunsi_1999880392556290086,chiefdahunsi,2,6.0,"1999880392556290086, 1999880394758668401",DRY RUN
chiefdahunsi_1999880868861755783,chiefdahunsi,2,6.0,"1999880868861755783, 1999880871164420241",DRY RUN
chiefdahunsi_2000170762993553499,chiefdahunsi,2,6.0,"2000170762993553499, 2000170765636051128",DRY RUN
rexa302_1996647360999682097,rexa302,2,5.0,"1997587098195407148, 1997617407578505478",DRY RUN
hossein7491_1979639245292884288,hossein7491,2,5.0,"1979639251903078577, 1979639245292884288",DRY RUN
chiefdahunsi_1998091302337208366,chiefdahunsi,2,5.0,"1998091302337208366, 1998091306883821613",DRY RUN
chiefdahunsi_1998098925010784323,chiefdahunsi,2,5.0,"1998098925010784323, 1998098930807226418",DRY RUN
chiefdahunsi_1998562533788053745,chiefdahunsi,2,5.0,"1998562533788053745, 1998562536145432691",DRY RUN
chiefdahunsi_1998916208733888840,chiefdahunsi,2,5.0,"1998916208733888840, 1998916211061776841",DRY RUN
chiefdahunsi_1998917371134882106,chiefdahunsi,2,5.0,"1998917371134882106, 1998917373462761559",DRY RUN
jarvis779_1922641434663862327,jarvis779,2,5.0,"1922641434663862327, 1922641736540541096",DRY RUN
favybristol_2000505939951280526,favybristol,2,5.0,"2000505939951280526, 2000505948901912645",DRY RUN
chiefdahunsi_1998796891627335748,chiefdahunsi,2,4.0,"1998796891627335748, 1998796894362087835",DRY RUN
chiefdahunsi_1998803464470843672,chiefdahunsi,2,4.0,"1998803464470843672, 1998803467197100172",DRY RUN
chiefdahunsi_1998915667270185389,chiefdahunsi,2,4.0,"1998915667270185389, 1998915669807739052",DRY RUN
